id,name,seo_title,seo_description,og_image
175077179783087,Makeover - Beauty Science Tech 2026 ,Makeover - Beauty Science Tech 2026,Makeover - Beauty Science Tech 2026 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/2000x968/6ea3e76497/instagram-1.jpg
148145813280364,WALC ,WALC,WALC Ashta - a retail store designed and built by Twotenses interior design studio,https://a.storyblok.com/f/210339/1620x1080/a3fd4df9ed/edit-1-ig.jpg
146722064131211,Makeover Jakarta x Beauty,Makeover Jakarta x Beauty,Makeover Jakarta x Beauty - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/9496x6331/c8d0712d76/1.jpg
117029423802074,Tavi ArtScience Beauty Dept,Tavi ArtScience Beauty Dept,Tavi ArtScience Beauty Dept - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/841d93e02f/boi09501.jpg
117029476484832,Say Chizu Flagship Store Bali,Say Chizu Flagship Store,Say Chizu Flagship Store - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6720x4480/ced97c1f09/saychizu-38.jpg
88588779353521,Makeover Mastershade XR,Makeover Mastershade XR,Makeover Mastershade XR - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6231x4154/1ec30e8902/img_9274-hdr.jpg
292663753,index,Index,Index of Twotenses's Projects - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/10262x6352/fa1bc44bb0/edited-15.jpg
151985039510371,Botanical Essential Pop Up Booth,Botanical Essential Pop Up Booth,Botanical Essential Pop Up Booth - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/2560x1280/cf9175a399/11.png
292663752,contact,Contact,Contact for design inquiry - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/10262x6352/fa1bc44bb0/edited-15.jpg
151882521081960,Lafiye Unveils 2,Lafiye Unveils 2,Lafiye Unveils 2 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6218x4145/ba74efba12/img_4410-hdr.jpg
280460308,home,"Exhibition, Booth & Interior Design Studio",Twotenses is a multidisciplinary interior design studio specializing in exhibition and commercial projects. We design conceptual yet functional spaces that deliver memorable experiences for people.,https://a.storyblok.com/f/210339/2000x1333/4c0f6e2a42/instagram-3.jpg
